Designator,Mid X,Mid Y,Layer,Rotation
IC20,58.42,54.61,Top,270.0
RDY,57.91,39.62,Top,270.0
USB,76.20,68.58,Top,180.0
USB-C,76.20,60.96,Top,90.0
C25,63.37,50.42,Bottom,270.0
C51,32.51,38.99,Bottom,270.0
C52,41.40,65.91,Bottom,225.0
C53,28.96,74.42,Bottom,180.0
C54,22.99,66.67,Bottom,315.0
C55,14.35,52.07,Bottom,180.0
C56,48.13,41.91,Bottom,0.0
C57,50.67,59.69,Bottom,0.0
C58,24.89,47.37,Bottom,90.0
R1,54.10,46.99,Bottom,0.0
R2,58.42,30.48,Bottom,270.0
R20,75.44,62.74,Bottom,180.0
R22,75.44,59.69,Bottom,180.0
R23,57.79,52.71,Bottom,90.0
R51,64.77,44.45,Bottom,270.0
R52,68.58,38.61,Bottom,90.0
R53,69.09,44.07,Bottom,0.0
R54,71.12,33.53,Bottom,0.0
R63,70.48,68.58,Bottom,180.0
